review_no,review_body,discount_text
263,"i was asked to review this product by 5 star america. this one is easy! this remarkably slim 3100mah charger slips beautifully into a suit pocket, jeans, handbag, almost anywhere. most impressive is 34value34. value is cost vs quality. at 13.97 current this charger one of a few which can be charged while charging phone at same time is exquisite value. its smaller than my samsung note 2 phone, and appreciably thinner see my photos than my current powerbackup  anker charger 3200mah i bought here on amazon about a year ago 40 back then.the 5 star america slimline charger comes complete with a nice length of standard usb to micro usb cord, flat, so wont tangle as round cords seem to. if accompanying long cord is too bulky, there are nice alternatives in usb to micro converters  here on amazon to takeup less space. clean lines, good looking device. were i 5 star america, id make logo and text which sprawl one side 34scream34 less. perhaps it was design for the sample they sent to review and new production designs are less crowded.one thing which seemed better design, the large 345 star america around flag design logo, adjacent to 34made in china34 at bottom. poor fit. really not a big deal.there are three blue leds which glow and signal charging process.overall, holds charge a week, easily, until needed. id top it off every 710 days. with 5 star americas warranty, dont think you can possibly go wrong with this power insurance.ron",i was asked to review this product by 5 star america.
539,"i was excited to receive the maxboost electron as a free sample for review from the maxboost vipu program! shipping was very fast 3days and packed well in a recyclable bubble mailer.  the product box was not damaged at all, so if youre considering this as a gift, you can be assured of the condition of the merch will be mint.out the box it appears impressive in a glossy black finish, brushed and glossy chrome button scheme, built in flash light, and power level lcd display.  included is a concise user manual, black velvet carrying pouch, and attachments for every standard mobile device power connector miniusb, microusb, apple 40 pin, and maybe the apple lightning connector.  to explain, the box does not a say the apple lightning adapter is included, however, the manual does say its included. since my box did not come with one, ill be contacting the mfr for clarification but ill assume maxboost is keeping up to date with apple devices and should be including a lightning adapter as well.  ill update this review when i hear back.  but even without the adapter, any ordinary usb cord will work in its place.more about the device it has 2 usb charging ports, one designated 2.1a for fast on the go charging of tablet devices and one 1a for smart phones.  both can be utilized at once if necessary. the electron capacity is 10,000 mah, which means starting at full capacity, it theoretically should be able to charge aniphone 5 1450mah maybe 7x,or just an ipad 2 6900mah capacity 1.4x,or both the ipad 1x and the iphone 2x.but before i can experience this, ill have to wait for an overnight full charge of the electron, which may take a long while as it arrived charged at only 6, after 4hrs it filled about 30.the next day, approx 14hrs of charging to 100 i used the 1a port to charge a 7mo old iphone 5 starting at 15 and the electron at 100. it took the normal amount of time to charge the phone and at finish, the electron was at 86.  so if this is a typical contribution, then the electron will indeed charge my phone about 7x!it does take a while to charge, but if everyday i needed to charge my phone with the electron, id only need to recharge it once a week.  and i wont need to carry multiple cables, plugs, battery cases, etc...this the electron should take care of all that.i must say this is super impressive, as i honestly did not expect such good performance. for christmas i was given a single use lipstick charger and the performance on that is so so and i needed to remember to charge it after each use, and so i was drawing my expectations from that experience but what a surprise! the electron worked well!now i cant wait to see how it performs with an ipad using the 2nd port. ill post an update in a few days when the ipad needs a charge.as for the led flashlight, it appears to be a white light single diode. theres no indication of how many hours or days the light could function. the brightness is only ok, so do not expect this to be anything like a cree flashlight, because like i said, theres only a single diode.  you can only guess the lumens as its not stated but whatever it is, probably meant to function only as a bright keyhole illuminator. but not so important, as youd likely only consider this device to charge your mobile devices, and not as a torch.durability wise, id hate for it to suffer a fall.  that would really ruin the glossy finish.  and i expect this to eventually also come out in various colors to suit your personality.update 6214i was disappointed to learn there is no lightning adapter available unfortunately. not a deal breaker but wouldve been a nice inclusion.having the ability to charge 2 phones at once is definitely cool!  theres so much juice, you dont have to worry about having enough when sharing.  my friends gave it a try at our dinner meal after an evening 5k event, and loved it.the performance of charging an ipad 2 and an iphone 5 simultaneously is not what i expected, however, i believe if they were charged separately, i wouldve gotten better charges on each. id like to note that i was simultaneously using both devices so these results need more testing",i was excited to receive the maxboost electron as a free sample for review from the maxboost vipu program! shipping was very fast 3days and packed well in a recyclable bubble mailer.
452,"i was given a free sample of the aero wireless charging battery case to test and review by unu.  i am however, not required to give a positive review.  below you will find my review of the aero wireless charging battery case.first impressions8226 the package is white, easy to read and contains a window to view the product.8226 box contains a comprehensive list of all of the aero features and the enclosed instructions are also easy to follow.8226 the aero feels nice to hold and does not weigh much more than my regular case i had protecting my iphone.8226 the charging base is lightweight and well made.  the base footprint is much smaller than i expected.i8217m impressed8230.i also tested the unu power dx external case and the aero is nearly a halfounce lighter and the overall case is slimmer.  the aero also contains a higher capacity battery 3.7v2000mah.installation of the case to the iphone was easy and fits the iphone nicely.one of my favorite features is that the aero battery case cannot only be changed on the aero pad but can be directly changed using the micro usb port located on the bottom of the battery case.  when both the iphone and aero case are completely out of charge, i was able to recharge both in under 3 hours using the aero charging base.  with light to medium use, i can go 45 days without recharging either unit.during my test, the product has worked flawlessly, and i would recommend this to the entire amazon community.  this is another great product from unu....this is one of the best items i8217ve test and am planning to purchase a second base and another case for my wife8217s iphone.",i was given a free sample of the aero wireless charging battery case to test and review by unu.
588,"i was given a free sample of this product to test and review and post my experiences.i have had the device in my possession for 30 days.  i think this has given me ample time to use, evaluate anddiscern its strengths and weaknesses.initial impression upon receiving the device via usps, was a decent job of packaging in order to protect the device during shipping.  upon opening the packaging which was very easy and not one of those hermetically sealed plastic packaging cocoons that takes a skilled surgeon and the possibility of slicing off your fingers whilst opening i found the device, usb cord, and a small insert with instructions.the device was fully charged upon opening and was very simple to understand and use.the charging of my samsung 5 was pretty rapid.  it seemed to fully charge my device when depleted to around 15 in approximately an hour, while still leaving 20  30 of reserve charge on the device.after a fair amount of uses of charging my device and recharging the maxboost external battery, the life span of the charge on the external battery seemed to deplete slightly faster.i am often out in the field without access to an electric charger and have found myself depleted with no resource to recharge.  this setup worked well to have enough power to fully recharge the device, while stowed in my pocket or even while i was using the device.  it is a bit larger than others ive seen, but i attribute that to the size of the battery and its ability to fully charge my device and still leave some extra charge for another boost.another feature which in my version had was a handy led flashlight.  not a necessity, but i did find it useful.",i was given a free sample of this product to test and review and post my experiences.
74,"i was given a list of products to choose from in return for reviews. i chose this as well as theihangy ihgont84709 adjustable lanyard music necklace and earbudswith the hope that one or the other would keep my ipod secure while exercising.like its brethren, the music necklace, the strap is easily adjustable. the straps themselves are diffent. this one is rubber and feels more appropriate for me when exercising it doesnt soak up sweat the other is cloth  rope.the necklace locks to the device by the port used for charging. it felt secure and i trust it to hold my device barring someone running up and snatching it off of me.the built in stylus did not influence my review. however, if i did use one, i think it would be more functional to not have to disconnect the device in order to use the stylus.ultimately i found this ihangy necklace to best meet my needs in order to exercise and keep my ipod in place while listening to music or podcasts.",i was given a list of products to choose from in return for reviews.
749,"i was given this as a sample to review and ive noticed a lot of 5 star reviews when people provide reviews for free items, probably because they are worried they wont get more if they provide an honest review.i cant comply with that train of thought and have to point out the issues.first of the lighting in it is very dim compared to several others i have tested so its hard to tell if its on in daylight. that removed 1 star from the rating.second it is longer than others i have tested, which is only an issue at the car port that is behind one of my cup holders. for others, this may not be a concern so i didnt remove a star for this.finally it has no labels on it so you can recall what amps it outputs. this may not seem as a concern, but having acquired quite a few of these over the years, i need to remember what they can supply. otherwise they go in a parts bin i have for things i do not know if they are useful. as i have tested quite a few of these, i only keep the ones that are labelled with the amp output. this was my reason for removing another star.so overall ok, but not a 5 star product for me. be weary of all the 5 star reviews where the reviewer was supplied this to review. some items may be worth 5 stars but others may not be. read the reviews carefully and see if they point out things that may concern you.","i was given this as a sample to review and ive noticed a lot of 5 star reviews when people provide reviews for free items, probably because they are worried they wont get more if they provide an honest review."
517,"i was happy to receive this  complementary product for an honest appraisal.i own several of these external battery chargers from many different manufacturers, some with more power, adaptor plugs, cases, higher prices, etc. for the price, i think the  oxa 3000mah ultrathin external battery charger is an excellent value.this unit is ultra thin only 0.3 of an inch, 3.2 ounces, unassuming, and fits nicely in a pocket or small compartment of a purse or backpack. it comes with a cord and several adaptor plugs to address most of your charging needs. it has a built in flashlight that has come in handy several times. it feels well made, solid, metal, and very durable. led lights work as charge indicators to show battery level or charging status. automatic sleep function will work when battery is not charging it will power off to save power. it comes with a 1year warranty, but the manufacturer states they will extend that for six months longer.performance wise, it works extremely well, and charges very fast. it can charge my phone from 50 to 100 in about an hour. i can use it for a couple of days before needing to charge the unit itself. of course, needs are individual, and results will vary from person to person.everyone should have a backup my experience is that most phones batteries drain fairly quickly from camera, video, and social media use. my daughter now has no excuse for not keeping in better touch, since my phone died is no longer viable! the oxa 3000mah ultrathin external battery charger has a combination of low price, handy accessories, excellent performance, and small size. i recommend it.",i was happy to receive this  complementary product for an honest appraisal
38,"i was looking for a safe sunscreen for my kids and my sister gave me the goddess garden sunscreen spray not continuous.  i liked it enough to find out if they had a continuous spray option and ordered it directly from their website as i didnt know it was available elsewhere.  i am pleased with the coverage, consistency as well as the continuous spray function.  i only gave it 4 stars because 1 the product gets hard in the bottle if not all used in one season though if shaken it still comes out and 2 it gets a rating of 3 on the environmental working group skin deep database  that said, goddess garden has other tube sunscreens that get a rating of 1 the lower the number the safer it is on ewgs database.  i will definitely be purchasing goddess garden tube sunscreen in the future.disclosure of material connection i will receive a lowvalue free gift from the manufacturer for posting this review. i was not required or compelled to write a positive review. the opinions i have expressed are my own. i am disclosing this in accordance with ftc 16 cfr, part 255.",disclosure of material connection i will receive a lowvalue free gift from the manufacturer for posting this review.
311,i was lucky enough to receive a free testing sample of this product from une and i absolutely love it. i am a power user when it comes to my phone and i am on it constantly. usually by 12 i am out of battery life and in need of a charge. im not a big fan of the battery cases so this free testing sample was a god send. i use it daily and it has been convenient enough to carry around in my pocket while plugged in. ive had the battery for a couple months now and have used it extensively. im not a fan of the purple wired one they sent me however that is the only negative thing i have found about this product. it charges back up fast and is always ready to go for another days charge. i have utilized it more then once in a day because it charges back up so fast. no complaints at all. highly recommended.,i was lucky enough to receive a free testing sample of this product from une and i absolutely love it.
842,"i was offered a free cable in exchange for an honest review.i hesitated to do so because i initially had very little to say. i unplugged my old chord, plugged this one in, and the picture seemed to be about the same. it was good. it remained good.i have left the chord plugged in now for a few months and i have to say i have never had a problem. the picture is clear and dependable. looking at the price, thats certainly a good value. i would not hesitate to buy this brand again. heck, i might consider picking up an emergency spare or two at the listed price!so, i dont see any reason to leave fewer than 5 stars. it does everything i would hope an hdmi cable would do. it does it well, dependably, and at a value price.",i was offered a free cable in exchange for an honest review.
925,"i was offered this speaker to try out and review, and i have to say im pleasantly surprised with this little thing.the sound when connected to my ipod touch 4th generation is surprisingly loud and clear. its sufficiently loud in fact, that i was able to listen to music a room away from where i had the speaker set up.the device itself is just a little larger than a golf ball with a suction cup and it has a nice looking, black matte, rubberized finish. i had no problem sticking the speaker to the back of my notebook computer, the face of my galaxy note 2 and a coffee table. the speaker comes with two very short cables one is for charging and listening simultaneously, and one is for listening only, that i would have liked twice as long as the one that was supplied. its not a huge deal, but a twelve inch cord really limits what you can do with the little thing.i did have some random noise with the speaker plugged in to my notebooks usb and 3.5 mm audio out jack, but ive had similar problems with some other speakers, so i might just be some interference that is specific to my notebook.overall, for the price at the time of my review, i think this speaker is a good bargain. i probably wouldnt have purchased it on my own because i wouldnt have believed the loudness  and quality of sound that this little thing puts out but having had a chance to try it, im really glad that i got a chance to review it.",i was offered this speaker to try out and review
220,"i was provided a 5 star america 3100mah power bank black for testing and review and was asked only to give my honest review, so this is what i found.what you should know before you buy9830 very thin and very small form factor.  no thicker than an iphone 5 and slightly smaller.9830 single 2.1a usb charging port.9830 small capacity power bank 3100mah which is best for phones, as opposed to tablets.9830 good iphone 5 charging speeds as compared to competing power banks.9830 thin form factor that would be great for travel or slipping into a pocketbriefcasepurse.9830 no power button, so you turn it on and off by plugging in or unplugging a usb cable.9830 one side has clean black finish while the other side has a considerable amount of company branding, information and even a review request, which hurts the sleek look a little bit.detailed review9830 look  the product came in a plain hanging display bag. inside the bag was the power bank wrapped in bubble wrap along with a basic instruction manual and a flat style micro usb charging cable.  it has a really nice black finish on one side and a considerable amount of company branding, information and even a review request on the other side.  all that info looks a little out of place and hurts the sleek look of the power bank in my opinion.  other than that, the power bank is very thin and small with a decent capacity for a phone.  it has a 2.1a usb charging output port and a micro usb charging input port.  it also has three blue leds that indicate remaining charge.  it didnt have a power button, so you turn it on and off by plugging in or unplugging a usb cable.  overall, it seems to have a nice quality build.9830 use and performance  it came with some charge to it so i plugged it into my computer and charged it until it was full. the three blue lights stopped blinking and stayed on indicating that the power bank was full.  after it was full i did some testing.  i took my iphone 5 that had 61 charge remaining and plugged it into the charging port.  i checked to see the progress periodically and found that after 10 minutes, the charge increased to 71 and after 30 minutes, the charge increased to 90.  an increase of about 1 per minute, which is a great result, and inline with competing power banks.  i then plugged in my ipad 2, and the 2.1a port was able to charge it with no problem.conclusionoverall, the 5 star america 3100mah power bank worked very well during my initial tests and usage. the charging speed performance was as good as competing products and has a good capacity in an extremely thin package, making it easy to transport in a pocket, bag or briefcase. it will also charge an ipad, but the small capacity makes it more suited for phones.  it looks very sleek and feels very solid, but does have the problem of too much branding and information on the one side, hurting the overall appearance in my opinion.  if you are looking for a thin power bank and you dont have a problem with the branding issues, this power bank is a great choice.","i was provided a 5 star america 3100mah power bank black for testing and review and was asked only to give my honest review, so this is what i found.what you should know before you buy9830 very thin and very small form factor.  no thicker than an iphone 5 and slightly smaller.9830 single 2.1a usb charging port.9830 small capacity power bank 3100mah which is best for phones, as opposed to tablets.9830 good iphone 5 charging speeds as compared to competing power banks.9830 thin form factor that would be great for travel or slipping into a pocketbriefcasepurse.9830 no power button, so you turn it on and off by plugging in or unplugging a usb cable.9830 one side has clean black finish while the other side has a considerable amount of company branding, information and even a review request, which hurts the sleek look a little bit.detailed review9830 look  the product came in a plain hanging display bag. inside the bag was the power bank wrapped in bubble wrap along with a basic instruction manual and a flat style micro usb charging cable.  it has a really nice black finish on one side and a considerable amount of company branding, information and even a review request on the other side.  all that info looks a little out of place and hurts the sleek look of the power bank in my opinion.  other than that, the power bank is very thin and small with a decent capacity for a phone.  it has a 2.1a usb charging output port and a micro usb charging input port.  it also has three blue leds that indicate remaining charge.  it didnt have a power button, so you turn it on and off by plugging in or unplugging a usb cable.  overall, it seems to have a nice quality build.9830 use and performance  it came with some charge to it so i plugged it into my computer and charged it until it was full. the three blue lights stopped blinking and stayed on indicating that the power bank was full.  after it was full i did some testing.  i took my iphone 5 that had 61 charge remaining and plugged it into the charging port.  i checked to see the progress periodically and found that after 10 minutes, the charge increased to 71 and after 30 minutes, the charge increased to 90.  an increase of about 1 per minute, which is a great result, and inline with competing power banks.  i then plugged in my ipad 2, and the 2.1a port was able to charge it with no problem.conclusionoverall, the 5 star america 3100mah power bank worked very well during my initial tests and usage. the charging speed performance was as good as competing products and has a good capacity in an extremely thin package, making it easy to transport in a pocket, bag or briefcase. it will also charge an ipad, but the small capacity makes it more suited for phones.  it looks very sleek and feels very solid, but does have the problem of too much branding and information on the one side, hurting the overall appearance in my opinion.  if you are looking for a thin power bank and you dont have a problem with the branding issues, this power bank is a great choice."
250,"i was provided a free device in exchange for an honest review.this charger is similar in shape and size to a smart phone, and comes with a cable for charging.  what it didnt come with were instructions on how to use it.  since the cable had one end which fit into phones, and the other end fit into a standard usb port, it was fairly simple to figure out how to operate.charging the device itself takes a couple hours if you hook it directly to an outlet i happened to have an ipod power adapter, but quite a bit longer if you charged through your computer to attain the three solid green lights which i assume mean its fully charged.  then it takes another couple hours to charge your phone or kindle i was disappointed it would not charge an ipad.  but even though there were still a couple green lights, it would not charge anything a second time.i can see where it would be quite handy in power outages or other situations where there is no power available, but im not sure how long the device itself holds a charge, so not sure it would be of use when you needed it.",i was provided a free device in exchange for an honest review.
490,"i was provided a free product in exchange for an honest review.this charger plugs into the car cigarette lighter, and can power two devices at once 8211 very handy when traveling with teens!  it charges as quickly as normal chargers, and has a builtin design to avoid overcharging.  it works on every device we8217ve tried so far 8211 smart phone, ipad, etc.  smart, sturdy, and compact, this will remain plugged in at all times!",i was provided a free product in exchange for an honest review.
372,"i was provided a unu aero series iphone 5 battery case for testing and review and was asked only to give my honest review, so this is what i found.what you should know before you buy9830 nice battery capacity increase for your iphone without adding too much bulk.9830 fits an iphone 5 perfectly, but case provides mostly cosmetic protection, not protection from major drops.9830 the apple lightning connector passes the does it work test.9830 charges wirelessly with an included charging pad or with an included micro usb cable.9830 key feature the charging padmicro usb cable charges the iphone and the case separately iphone first, meaning you are not always using the battery case to charge the phone.  this puts much less strain on the battery case and should extend the life of the battery.  this feature is not available on all battery cases.9830 key feature this battery case has a syncthrough feature that lets you sync your iphone through the micro usb cable. this means you do not have to remove the case to do a wired sync of your iphone.  this is a critical feature, and a dealbreaker for me for cases that do not support this.9830 the case covers the headphone jack, so you will have to use the included headphone extension to use regular headphones.detailed review9830 look  the product came in professional looking box with nice pictures and product information on it. inside the box was the battery case, a charging pad, a micro usb charging cable, a headphone jack extension cable and an instruction manual all wrapped in a form fitting plastic holder. it is a very nice looking battery case that doesnt add a lot of bulk to your phone, while giving you a nice battery boost. it has a matte finish that offers a little bit of grip.  the case is built more for protecting from light bumps and scrapes, not major drops. the back of the case has a power button to turn on the case battery, four capacity gauge leds and two metal charging studs for the charging pad. overall, it seems to have a nice quality build.9830 installation  installing the case was pretty easy. you slide your iphone onto the lightning plug and carefully slide a frame over the phone to hold it in place. no problem at all and it had a nice fit.9830 use and performance  to activate the battery case, you press and hold a button on the back of the case and the battery turns on. my phone immediately indicated that it was charging and everything started working as expected. the battery did a great job of charging my phone with no problem and the case felt good in my hand. it was a little larger and heavier than i was used to with my typical incipio dual pro case, but not too much. the charging speed was great adding a little more than the average of 1 per minute of charge to my iphone 5.  overall, it worked very well.9830 key feature 1 charging   i have tested a few battery cases, and this one has some great features that were not available on the other cases i have tested.  first and foremost, it has a great wireless charging option with an included charging pad.  you just lay the phone on the charging pad with one of the charging studs on each side of the pad and it starts charging right up.  an important item to note about the charging.  the charging pad or charging via the micro usb cable charges up the iphone and the battery in the case separately with the iphone being charged first.  this is different than some cases that charge the battery case only and you have to charge the iphone with the case all the time.  charging the phone separately puts a lot less strain on the battery case and should make the battery case last a lot longer.  this is a great feature of the unu aero case.9830 key feature 2 sync   the other cases i have tried do not allow you to sync your iphone through the micro usb cable.  that means you either have to rely on wificloud sync, or you have to remove your phone from the case every time you want to sync it with a normal lightning cable.  what sets the unu aero case apart from its competition is that it supports syncthrough technology that allows you to sync your phone right through the micro usb cable with the case still on.  this was a great feature that really made this an awesome case.  one item of note, the unu aero must come with a higher quality micro usb cable, because a generic cable that i had didnt work for sync and gave me the unsupported device error.  when i plugged in the micro usb cable that came with this case, it started working perfectly.conclusionoverall, this is an amazing case.  it does a great job of charging your phone, and it has some unique features that really make it stand out from the crowd.  it is not a case that will protect your phone from major drops, but it offers some basic protection and performs great as a battery case.  if you are looking for a battery case for your iphone 5, this is the one to get because of the key features mentioned above.  highly recommended!","i was provided a unu aero series iphone 5 battery case for testing and review and was asked only to give my honest review, so this is what i found."
154,"i was provided a utechsmart 10000mah power bank for testing and review and was asked only to give my honest review, so this is what i found.look the product came in a clear professional looking box with product information on it. inside the box was the power bank encased in a form fitting clear plastic holder with clear plastic protective sheets over the top and bottom it to protect it. it also had a small instruction manual that was very well put together with easy to follow instructions, a usb cable with various connectors and a nice mesh carrying bag probably the nicest i have seen that came with a power bank.  the product looks sleek.  it is thin and flat.  it is slightly larger and thicker than my iphone 5 with an incipio case on it.  i like how it is thin because i can just lay my phone right on top of it instead of some other large capacity power banks that are more chunky.  it comes in a smooth black finish that is made of plastic and it looks and feels very solid in your hand. it has one power button, four blue lights in a wave design to show the remaining charge, a micro usb input for charging the power bank and a two normal usb outputs for charging your electronics one for apple and one for android.use and performance  it came with some charge to it so i plugged it into my computer and charged it until it was full. the four blue lights stopped blinking and stayed on indicating that the power bank was full. after it was full i did some testing.test 1 i took my partially depleted 2nd gen ipad that had 80 battery left and started charging it. the battery in my ipad is still extremely strong even though it is a little older. i checked it fairly often and got the following readings.starting point  80 chargeafter 10 minutes  82 chargeafter 30 minutes  86 chargeafter 60 minutes  92 chargethis was a short test and the power bank performed very well compared to other brand power banks that i have tested in the past.  once you get close to the 90 mark when charging a device, the percent increase per minute slows down significantly in all power banks that i have tested.  this power bank performed a little better the other brands i have tested when charging in the 90 capacity range.  overall, i am very pleased with the result and the speed was as good or slightly better than the other power banks i have tested.test 2 took the power bank without recharging it and plugged in my half way depleted iphone 5 that had only 49 charge remaining. i checked it every 10 minutes or so and got the following readings.starting point  49 chargeafter 20 minutes  71 chargeafter 40 minutes  89 chargeafter 60 minutes  97 chargeafter 71 minutes  full chargeoverall, great results. the average for the other power banks i have tested has been and an increase of about 1 per minute.  this power bank did slightly better before getting to the 90 capacity slowdown that all power banks experience.  it also seemed to top off the iphone a lot faster that some of the others.  during the test, i switched between the apple and android ports and saw little or no difference between them when charging an iphone. the power bank easily charged a my iphone 5 without any problem and the indicator lights showed that it still had plenty of juice for at least another couple of charges.conclusion overall, the utechsmart 10000mah power bank worked great during my initial tests and usage. the performance was as good or slightly better than some competing products that i have tested.  the product has a great, thin design that makes it easy to use or transport, especially for charging a phone where you can just lay the phone right on top of it.  it looks and feels very solid. i can see that the large capacity of this power bank would be an excellent option for longer travel use such as a long plane trip or other travel where you do not have access to a power plug.  highly recommended!","i was provided a utechsmart 10000mah power bank for testing and review and was asked only to give my honest review, so this is what i found."
199,"i was provided a yubi power ypmwcc1a 1.0a rapid usb car charger for testing and review and was asked only to give my honest review, so this is what i found.what you should know before you buy9830 this thing is tiny.  it only sticks out of your cars charging outlet about one inch.9830 it is a basic phone charger with a single 1.0 amp usb charging port.9830 it charges just as fast as any other charger about 1 charge increase per minute on an iphone 5.9830 very compact for travel if you need to take a car charger with you on trips renting a car at your destination for example.detailed review9830 look  the product came in a professional looking plastic hanger display package with the car charger displayed in the front and product information on both sides of the inside card.  it also had some basic instructions on the back of the card not that you really need them.  immediately you see that this is a very small and compact car charger. it has a single 1.0a usb port and a blue led power indicator light on the front. it is black and grey in color and blends nicely in my vehicles interior.  it also appears to have a very nice build quality.9830 installation  as with any car charger, you basically just plug the unit into you cars charging outlet. once plugged in, it fit well and had a tight connection that would not easily fall out of the outlet. i have been using an amazonbasics dual port 2.1a usb car charger for a while now and i immediately noticed that the yubi power charger makes the amazonbasics charger look giant. comparably, the yubi power is tiny and is much less noticeable in my car. my pathfinders charging outlets are on the side of the passenger area where a knee can easily bump the charger. the much smaller yubi power gives the passenger a little more leg room in my vehicle, as opposed to the amazonbasics charger that is much easier to bump.9830 use and performance  once installed, i did some basic tests to see how the yubi power car charger handles charging up my iphone 5.  during my work commute, i took my iphone 5 that had 65 charge remaining and i plugged it in.  the charger increased the charge on my phone by 25 in about 27 minutes or around 1 per minute, which is a great result, especially once you get around the 8590 charge range where you typically experience slowdowns in charging speeds.  it worked perfectly and as well as any other higher priced chargers that i have used.conclusionoverall, this is a great little 1.0a usb car charger with a solid build. it is really small and takes up almost no room in your car.  the unit looks good and performs very well. if you are looking for a basic, single port rapid car charger for your phone at a low price 7 at the time of this review, the yubi power ypmwcc1a 1.0a rapid usb car charger is a great option. highly recommended!",i was provided a yubi power ypmwcc1a 1.0a rapid usb car charger for testing and review and was asked only to give my honest review
190,"i was provided an etronic quad port usb 2.1a travel wall charger for testing and review and was asked only to give my honest review, so this is what i found.what you should know before you buy9830 the charger is pretty small for a four port charger.9830 has four ports ports that share a total of 2.1a output.9830 it had fast charging speeds when charging two devices, but will slow down as you add more devices due to the low total output.9830 removable prongs for travel.9830 good tradeoff between speed and compactness for a four port charger.detailed review9830 look  i received a sample product that did not come in a retail package, so i cannot comment on the packaging or if it normally includes an instruction manual. i only received the wall charger. it is a clean white wall charger with a blue company logo on the side and four usb ports pointing downwards or upwards if you plug it in upside down. the four usb ports share the 2.1a total charging capacity. it also has an led power indicator light around the ports.  the prongs detach with the press of a button and gives you two separate pieces for travel.  it looks nice and appears to have a nice build quality.9830 use and performance  i plugged it into a wall outlet and did some basic testing to see how the etronic wall charger handles various charging situations.test 1 single charging  i first tried charging my iphone 5 by itself.  it had a charge of 20 at the start and after 30 minutes, the charge increased to 54.  better than 1 per minute, which is a very fast charging rate.  the charger performed well when charging a single phone.test 2 simultaneous charging  later that day, i took my iphone 5 that had 32 charge and my ipad 2 that had 34 charge and charged them simultaneously.  after 10 minutes, the iphone charge increased to 43 and the ipad increased to 37.  again, very good results when charging two devices at the same time.  this is basically the best you are going to get because adding additional devices will continue to eat into the 2.1a total charging capacity.conclusionoverall, this is a nice 2.1a quad port usb wall charger. it is pretty small and compact for such a large number of ports.  it also has a nice quality build.  the total 2.1a output will not give you the fastest charging when charging four devices, but it does very well when charging one or two, and the additional ports can be used as needed.  competing four port chargers have a much bigger form factor, so you are trading charging speed for compactness.  if you are looking for a quad port usb charger with good speeds in a small form factor, the etronic is worth a look.",i was provided an etronic quad port usb 2.1a travel wall charger for testing and review and was asked only to give my honest review
502,"i was provided with a free copy of this item for testing and my fair and honest evaluation. i have gone through 3 different pairs of bluetooth headphones this year alone, the fit was either awkward or bulky or just plain uncomfortable. i like to listen to music or watch netflix on my tablet while im cooking so its important that i dont have a dangling cord i could accidentally julienne into whatever im cooking. if the headphones done work or fit properly, its a huge inconvenience and downright annoying. i was very skeptical when i unboxed the headphones but i was pleasantly surprised. the fit of the headphone is the best ive come across so far, in this affordable price range. the sound is perfect , no distortion. i have been using them several times a day for the past week with no problems. i received the headphones on saturday and gave the other headphones away to a few of my friends on tuesday, i wont be needing those anymore.",i was provided with a free copy of this item for testing and my fair and honest evaluation.
506,"i was provided with a free copy of this item for testing and my fair and honest evaluation. the sharkk bluetooth headphones can be used for many occasions. i didnt like the product at first, but after testing it for a couple of days i grew to love it.pros works well sendingreceiving calls. comfortable with the right ear buds. great for athletes, wanting to listen to music while being active. wireless, no long cords dangling from your ears to your device. many functions including three ways call operations, multiple devices at once, playing music, and some other features i havent gotten use to yet.cons volumepower controller is a bit small and the buttons are quite close to each other. it is hard to tell them apart if you are not looking, but i suppose it will just take some time to adapt to it. not compatible with some devices. works with my nexus 5, samsung galaxy note 3, but does not connect to my nexus 7. it is loud, but does not produce the best sound and bass. this is a bluetooth headset for phone calls, but you can use it to play music like i do when i run.is it worth 30? yes. overall it is a great product that can use minor improvements. if sharkk puts more time into producing the most enjoyable sound for bassheads or heavy music listeners then these headphones would be perfect.",i was provided with a free copy of this item for testing and my fair and honest evaluation.
511,"i was provided with a free copy of this item for testing and my fair and honest evaluation.these are great headphones, no wire to tangle. very ease to use, very comfortable. the buttons sometimes dont do what i want, a few times i was listening to music and accidentally called a fiend multiple times when  i was trying to pause the music.prosi charged these right out of the package for around two hour after the light went out i put them too use. on the first charge, i got 6 hours of use and 1 hour off before i had to charge it again. battery life is not an issue, 2 hours charging for 6 hours of use is fine by me.these are very easy to pair with any device, laptop or smartphone.construction is solid, the multiple pieces that they provide for fit is excellent. these headphones are very comfortable.consmy only gripe is the sound sounds flat. almost no bass, but make no mistake the sound quality if great for the everyday listener. if you love tons of bass in your songs youre gonna have a bad time. sorry bassheads.will update if anything changes.",i was provided with a free copy of this item for testing and my fair and honest evaluation.
394,"i was searching the web for a new case for my iphone 5. ive used many cases over the years including cases from otterbox defender, commuter, armor, incipio atlas etc but i had never tried a battery case. upon doing a google search i found a link to .... there i saw the  aero wireless charging battery case and mat for iphone 55s. i applied for there utry program and the company sent me a free sample case...ive been using this case for about 2 weeks now and i love it! the case is not thick or long. seems to be a shorter than the mophie case. it has a nice feel too it. easy to hold. wont slide off your hand. i love that i can just set my phone down on the charge mat. so easy...so far i have only encountered 2 things i dont like about this case. first the powerwake button seems stiff and doesnt push in all way. found myself pressing it more than once. second is that a few times when i turned the case on to charge, my phone would get warm. not sure if this is common on battery cases.overall i do enjoy this case very much and i would recommend this case.", i applied for there utry program and the company sent me a free sample case.
